title,publication_date,product_name,company_in_the_list,company_name_variants,multiple_nationality,main_country,no_total_authors,no_author_with_any_coi,coi_employment,coi_advisory_consulting,coi_speakers_bureau,coi_honoraria,first_author_coi_all,last_author_coi_all,coi_employment_first_author,coi_employment_last_author,coi_advisory_first_author,coi_advisory_last_author,coi_speakers_first_author,coi_speakers_last_author,coi_honoraria_first_author,coi_honoraria_last_author
Adjuvant Nivolumab in High-Risk Muscle-Invasive Urothelial Carcinoma: Expanded Efficacy From CheckMate 274,2025-01-01,nivolumab,True,"['Bristol Myers Squibb', 'Bristol Myers Squibb/Pfizer', 'Bristol Myers Squibb Foundation', 'Bristol Myers Squibb Japan', 'Bristol Myers Squibb/Roche', 'Bristol Myers Squibb/Medarex', 'Bristol Myers Squibb/Celgene']",1,USA,22,16,6,7,1,6,1,1,0,0,0,1,0,0,0,0
Impact of an Epstein-Barr Virus Serology-Based Screening Program on Nasopharyngeal Carcinoma Mortality: A Cluster-Randomized Controlled Trial,2025-01-01,,False,[],1,China,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Single or Double Induction With 7 + 3 Containing Standard or High-Dose Daunorubicin for Newly Diagnosed AML: The Randomized DaunoDouble Trial by the Study Alliance Leukemia,2025-01-01,daunorubicin,False,[],0,Germany,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menin Inhibition With Revumenib for KMT2A-Rearranged Relapsed or Refractory Acute Leukemia (AUGMENT-101),2025-01-01,revumenib,True,"['Syndax', 'syndax']",1,USA,27,18,6,6,0,1,1,1,0,0,1,1,0,0,0,0
Inotuzumab Ozogamicin and Low-Intensity Chemotherapy in Older Patients With Newly Diagnosed CD22+ Philadelphia Chromosomeâ€“Negative B-Cell Precursor Acute Lymphoblastic Leukemia,2024-12-20,inotuzumab ozogamicin,True,"['Pfizer', 'Bristol Myers Squibb/Pfizer', 'Servier/Pfizer']",1,France,40,8,0,5,0,1,1,0,0,0,0,0,0,0,0,0
"Cediranib and Olaparib Combination Compared With Cediranib or Olaparib Alone, or Chemotherapy in Platinum-Resistant or Primary Platinum-Refractory Ovarian Cancer: NRG-GY005",2024-12-20,cediranib,True,"['AstraZeneca', 'AstraZeneca/Merck', 'AstraZeneca/MedImmune', 'AstraZeneca - Merck Alliance']",1,USA,24,9,0,5,0,2,0,1,0,0,0,0,0,0,0,0
PEARL: A Phase Ib/II Biomarker Study of Adding Radiation Therapy to Pembrolizumab Before Neoadjuvant Chemotherapy in Human Epidermal Growth Factor Receptor 2â€“Negative Breast Cancer,2024-12-20,pembrolizumab,True,['Merck'],0,USA,17,6,0,2,0,1,1,1,0,0,0,1,0,0,1,0
Atezolizumab Combined With Platinum and Maintenance Niraparib for Recurrent Ovarian Cancer With a Platinum-Free Interval >6 Months: ENGOT-OV41/GEICO 69-O/ANITA Phase III Trial,2024-12-20,atezolizumab,True,"['Roche/Genentech', 'Roche']",1,Spain,36,15,0,10,4,4,1,0,0,0,1,0,1,0,0,0
NeuroCARE: A Randomized Controlled Trial of a Psychological Intervention for Caregivers of Patients With Primary Malignant Brain Tumors,2024-12-20,,False,[],0,USA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darolutamide in Combination With Androgen-Deprivation Therapy in Patients With Metastatic Hormone-Sensitive Prostate Cancer From the Phase III ARANOTE Trial,2024-12-20,darolutamide,True,"['Bayer', 'Bayer Germany']",1,Canada,18,9,3,6,1,3,1,1,0,1,1,0,0,0,1,0
STRIvE-02: A First-in-Human Phase I Study of Systemically Administered B7-H3 Chimeric Antigen Receptor T Cells for Patients With Relapsed/Refractory Solid Tumors,2024-12-10,B7-H3 CAR T cells,False,[],0,USA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
